Date,MA,Upper_Band,Lower_Band
2022-03-02,235.90000076294,291.02588848477194,180.77411304110805
2022-03-03,231.38499984741503,282.2389831395704,180.53101655525967
2022-03-04,228.569999694825,282.506732434398,174.63326695525197
2022-03-07,223.9,282.8647890179381,164.9352109820619
2022-03-08,219.80999984740998,284.206563976568,155.41343571825195
2022-03-09,216.10999984741002,279.9867513457237,152.23324834909636
2022-03-10,210.91999969481998,271.0666472700255,150.77335211961446
2022-03-11,205.499999999995,266.9268560034326,144.0731439965574
2022-03-14,200.465000152585,268.2363551055585,132.69364519961147
2022-03-15,195.79500045776498,265.60440653902754,125.98559437650245
2022-03-16,192.305000305175,255.47302632033063,129.1369742900194
2022-03-17,188.93500061035002,243.52874342320416,134.34125779749587
2022-03-18,187.85000076294,239.40904052733416,136.29096099854584
2022-03-21,187.23500061035,237.43993762639312,137.03006359430688
2022-03-22,188.56500091553,241.9696427391586,135.1603590919014
2022-03-23,190.64000091552998,246.6084258802382,134.67157595082176
2022-03-24,192.30000076294,251.65399445114824,132.94600707473174
2022-03-25,193.47500076294,255.17989414441587,131.77010738146413
2022-03-28,195.120000457765,260.7682017597791,129.4717991557509
2022-03-29,197.42500076294,268.52080986840764,126.32919165747234
2022-03-30,199.00000076294,273.1581238523012,124.84187767357882
2022-03-31,200.355001068115,275.60315020408405,125.10685193214593
2022-04-01,202.52000122070498,278.78045669016575,126.2595457512442
2022-04-04,207.24500122070498,285.42930372082526,129.0606987205847
2022-04-05,210.920001220705,286.93018311255196,134.909819328858
2022-04-06,212.30500106812002,287.18181161372695,137.42819052251312
2022-04-07,213.975001525885,286.53977066277906,141.41023238899095
2022-04-08,216.16000137329996,283.10388707025766,149.21611567634227
2022-04-11,218.33500137330003,276.14752205144487,160.5224806951552
2022-04-12,219.775001525885,270.86711166108427,168.6828913906857
2022-04-13,219.49500198364998,271.34833574407145,167.6416682232285
2022-04-14,218.175002288825,274.1055918363556,162.2444127412944
2022-04-18,215.91000213623497,276.25210971807604,155.56789455439386
2022-04-19,214.33000183105997,277.1482054419299,151.51179822019003
2022-04-20,209.99500198364498,279.6244705400868,140.36553342720316
2022-04-21,205.280002593995,282.5806881945746,127.9793169934154
2022-04-22,199.680002593995,283.55792334988394,115.80208183810605
2022-04-25,194.38500289917,282.5604572707177,106.20954852762232
2022-04-26,187.49500274657998,279.7983143786002,95.19169111455977
2022-04-27,180.06000213623,272.5081882252461,87.61181604721388
2022-04-28,173.92500228882,263.77800329584585,84.07200128179416
2022-04-29,168.24000244141,258.20814790418024,78.2718569786398
2022-05-02,162.86500244141,249.71066980654132,76.01933507627871
2022-05-03,156.10500221253,231.5451151156767,80.66488930938328
2022-05-04,151.200001907355,217.20874395063316,85.19125986407683
2022-05-05,146.21500167847,208.20876574081765,84.22123761612235
2022-05-06,141.140001297,199.15507988930787,83.12492270469212
2022-05-09,135.765001297,192.9559952642291,78.5740073297709
2022-05-10,131.445001220705,188.63758507761293,74.25241736379706
2022-05-11,126.74500083923502,184.96467582455034,68.5253258539197
2022-05-12,121.485000610355,177.02382614800098,65.94617507270902
2022-05-13,117.725000381475,170.66758466293825,64.78241610001174
2022-05-16,113.71000022888502,162.7978432248223,64.62215723294776
2022-05-17,109.70500068664998,149.4355400115224,69.97446136177757
2022-05-18,106.550000381475,144.77325030457297,68.32675045837705
2022-05-19,104.02999992371001,141.8036799747515,66.25631987266851
2022-05-20,101.800000000005,139.87449684273136,63.725503157278645
2022-05-23,99.565000152595,136.51881234636997,62.61118795882005
2022-05-24,97.70000038148,136.33317298902097,59.06682777393903
2022-05-25,96.04000053407,135.4735890061558,56.60641206198421
2022-05-26,94.245000457775,131.3669583789199,57.123042536630116
2022-05-27,93.415000152595,129.42156308418333,57.40843722100666
2022-05-31,92.19000015259499,125.37153349070238,59.0084668144876
2022-06-01,90.81500015259499,120.46809854095329,61.16190176423669
2022-06-02,89.36000061036,111.36013391566428,67.35986730505573
2022-06-03,88.58500061036,108.33781747606055,68.83218374465945
2022-06-06,88.38500061036,107.54859242953694,69.22140879118305
2022-06-07,89.250000381475,109.63518536687823,68.86481539607178
2022-06-08,90.210000228885,112.53891854864719,67.8810819091228
2022-06-09,91.07500038147501,112.92702565245345,69.22297511049656
2022-06-10,91.46500015259001,112.63223081531493,70.29776948986509
2022-06-13,90.4,113.72073811513383,67.07926188486618
2022-06-14,89.695000076295,114.2432531389372,65.1467470136528
2022-06-15,88.939999771115,113.56163323975473,64.31836630247527
2022-06-16,88.36499977111501,114.27100581884892,62.458993723381106
2022-06-17,87.904999923705,114.62329413850327,61.18670570890674
2022-06-21,87.839999771115,114.65157611060269,61.02842343162732
2022-06-22,87.60499954222999,114.6836356299865,60.52636345447348
2022-06-23,88.13999938964,114.32005650443817,61.95994227484182
2022-06-24,89.00999908446,114.61352754742964,63.40647062149037
2022-06-27,89.17999916075499,114.82556800937977,63.53443031213021
2022-06-28,88.409999465935,113.96628696055927,62.85371197131073
2022-06-29,87.499999618525,112.68704782580461,62.31295141124538
2022-06-30,86.47999954222999,111.71644807986871,61.24355100459127
2022-07-01,85.00999946593501,108.37302875796348,61.64697017390653
2022-07-05,84.499999618525,107.32888220086849,61.671117036181506
2022-07-06,83.789999771115,105.42826011165059,62.15173943057943
2022-07-07,83.25,103.22962169817335,63.27037830182665
